genre,sinopsis
"Comedy , Action , Sci-Fi","Tahun adalah 2087, pengaturan bulan. bintang Eddie Murphy sebagai Pluto Nash, yang terbang tinggi pemilik sukses klub malam terpanas di kota, atau lebih tepatnya alam semesta! Sayangnya, Pluto menemukan dirinya dalam kesulitan ketika ia menolak untuk menjual klubnya untuk bulan gangster Mogan, yang kebetulan akan membantu misterius Kawah Rex dalang rencana untuk mengambil alih seluruh bulan. Tapi Pluto tidak siap untuk mencium asetnya selamat tinggal. Dengan bantuan nya robo-pengawal Bruno, indah penyanyi calon Dina Lake kolam renang hiu dan kepercayaan Rowland dan lebih - dapat Pluto mengatasi massa dan ledakan mereka semua ke dalam orbit?"
"Animation , Drama , Family","Mengambil lama setelah akhir film asli, Bambi berikut ayahnya, Agung Pangeran, ke hutan setelah kematian ibunya dan Great Prince harus mengajarkan anak rusa muda, dan teman-temannya Thumper, Bunga dan Owl, bagaimana rusa bertahan di hutan. Namun Besar Pangeran menemukan bahwa anak bersemangat tinggi nya mungkin memiliki satu atau dua pelajaran untuk mengajarinya, juga."
"Action , Crime , Drama","Jimmie Rainwood itu mengurus bisnis sendiri ketika dua petugas polisi yang korup (mendapatkan alamat yang salah) meledak ke rumahnya, berharap untuk menemukan pengedar narkoba besar. Rainwood ditembak, dan petugas menjebaknya sebagai pengedar narkoba. Rainwood dihukum karena narkoba, berdasarkan bukti sumpah palsu dari informan polisi. Dilemparkan ke penjara kumuh, berjuang untuk membuktikan dirinya tidak bersalah adalah diffucult ketika ia harus berurusan dengan realitas kehidupan penjara, di mana setiap orang mengklaim mereka dibingkai."
"Action , War","Di tengah Perang Dunia II, pertempuran di bawah mengamuk laut. Nazi memiliki tepi atas sebagai Sekutu tidak dapat memecahkan kode perang mereka. Artinya, sampai rusak U-boat mengirimkan sinyal SOS, dan Sekutu menyadari ini adalah kesempatan mereka untuk merebut 'enigma coding mesin'. Tapi menyamar sebagai Nazi dan mengambil alih U-boat adalah yang terkecil dari masalah mereka .."
"Adventure , Drama , Thriller","Ketika komando tinggi Nazi belajar di akhir 1943 yang Winston Churchill akan menghabiskan waktu di sebuah real negara di Norfolk, menetas skema berani untuk menculik perdana menteri dan semangat dia untuk Jerman untuk negosiasi ditegakkan dengan Der Führer."
"Action , Adventure , Comedy","Ketika setan jenius Dr. Evil perjalanan kembali waktu untuk mencuri superspy Austin Powers ""mojo, "" Austin harus kembali ke swingin '' 60-an dirinya - dengan bantuan agen Amerika Felicity Shagwell - untuk menghentikan rencana pengecut. Sesampai di sana, Austin menghadapi off melawan tentara Dr. Evil dari pelayan dan menyelamatkan dunia dengan cara luar biasa asyik sendiri."
"Crime , Drama , Thriller","Yuri Orlov adalah pedagang senjata globetrotting. Melalui beberapa zona perang paling mematikan, Yuri berjuang untuk tetap selangkah lebih maju dari agen Interpol tanpa henti, saingan bisnisnya, bahkan beberapa pelanggannya yang mencakup banyak diktator paling terkenal di dunia. Akhirnya, Yuri juga harus menghadapi hati nuraninya sendiri."
"Biography , Drama","Seorang ibu dua kali bercerai dari tiga yang melihat ketidakadilan, mengambil orang jahat dan menang - dengan sedikit bantuan dari push-up bra-nya. Erin pergi bekerja untuk seorang pengacara dan datang di catatan medis yang menjelaskan penyakit berkerumun di salah satu kota terdekat. Dia mulai menyelidiki dan segera memperlihatkan monumental menutup-nutupi."
"Crime , Drama , Thriller","Indah Carmen Colson dan barang besi suaminya Wayne ditempatkan dalam program federal Perlindungan Saksi setelah menyaksikan sebuah ""insiden "". Berpikir mereka pada aman terakhir, mereka ditargetkan oleh pembunuh bayaran berpengalaman dan pembunuh muda pemula psikopat."
"Comedy , Drama","Sebuah nikmat untuk wanita dari masa lalunya melempar kehidupan hamil, pensiunan bintang porno ke dalam kekacauan."
"Action , Comedy","Jackie Chan bintang sebagai Wong Fei-Hung, yang kejenakaan nakal mendarat dia di air panas. Memiliki cukup ditoleransi kecelakaan anaknya, ayah Fei-Hung enlists pamannya sadis, yang mengkhususkan diri dalam mabuk-gaya kung fu, mengajar anak itu beberapa disiplin. Hong Kong seni bela diri komedi ini membantu mendirikan gaya bertarung slapstick yang akan menjadi merek dagang Chan."
"Action , Comedy , Crime","Sebuah relawan analis CIA meja-terikat untuk pergi menyamar untuk menyusup ke dunia dari pedagang senjata yang mematikan, dan mencegah bencana global yang jahat."
"Comedy , Drama , Music","Bintang Meryl Streep sebagai Ricki Rendazzo, pahlawan gitar yang membuat dunia kesalahan saat ia mengikuti impiannya rock-and-roll bintang. Pulang ke rumah, Ricki mendapat menembak penebusan dan kesempatan untuk membuat hal yang benar saat ia menghadapi musik dengan keluarganya."
"Comedy , Romance","Ini hari wisuda di Huntington Hills tinggi, dan Anda tahu apa artinya - waktu pesta. Dan bukan hanya pihak, baik. Ini akan menjadi malam untuk mengingat, sebagai kutu buku menjadi kancing, atlet dihina, dan meremukkan mahasiswa berkembang menjadi asmara dewasa."
"Comedy , Drama , Family","Seorang eksekutif keuangan yang tidak bisa berhenti downspiral karirnya diundang ke dalam dunia imajiner putrinya, di mana solusi untuk masalah nya menunggu."
"Crime , Drama , Mystery","Jesse Stone adalah mantan detektif pembunuhan LA yang tertinggal kota besar dan mantan istri menjadi kepala polisi tenang New England kota nelayan surga. kebiasaan lama batu mati keras saat ia terus memanjakan dua hal favoritnya - scotch dan wanita. Ketika serangkaian pembunuhan terjadi dan seorang gadis SMA diperkosa, dia dipaksa untuk menghadapi setan sendiri untuk memecahkan kejahatan. Dan, karena ini adalah pembunuhan pertama yang terjadi di surga, Jesse juga harus melatih staf berpengalaman nya polisi untuk membantu penyelidikan untuk menemukan para pembunuh dan pemerkosa sebelum mereka dapat menyerang lagi."
"Crime , Drama , Thriller","Seorang pria mengaku agen FBI cerita keluarganya tentang bagaimana visi fanatik ayahnya agama nya menyebabkan serangkaian pembunuhan untuk memusnahkan seharusnya ""setan. """
"Drama , Mystery , Thriller","Pada terkapar tanah miliknya, seorang penulis penuaan cocok akal dengan aktor berjuang yang telah mencuri hati istrinya."
"Animation , Adventure , Comedy","Shrek, Fiona dan Keledai berangkat ke Far, Far Away untuk bertemu ibu dan ayah Fiona. Tapi tidak semua orang senang. Shrek dan Raja merasa sulit untuk bergaul, dan ada ketegangan dalam pernikahan. Peri ibu baptis menemukan bahwa Shrek telah menikah Fiona bukan Putranya Prince Charming dan menetapkan tentang menghancurkan pernikahan mereka."
"Comedy , Romance","Julie, seorang gadis dari lembah, bertemu Randy, punk dari kota. Mereka berasal dari dunia yang berbeda dan menemukan cinta. Entah bagaimana mereka harus tetap bersama meskipun trendi, teman dangkal nya."
"Crime , Drama , Mystery","Sebuah tim bersatu-padu penyelidik FBI, bersama dengan mereka pengawas Jaksa, tiba-tiba terkoyak ketika mereka menemukan bahwa salah satu anak perempuan remaja mereka sendiri telah dibunuh secara brutal."
"Action , Horror , Thriller",Dua saudara terasing bersatu kembali di rumah masa kecil mereka di Alaska liar. Mereka berangkat pada kenaikan dua hari dan mengintai oleh beruang grizzly tak henti-hentinya.
"Action , Adventure , Sci-Fi","Dari gurun Mesir untuk jauh di bawah lapisan es kutub, elit tim GI JOE menggunakan terbaru dalam generasi mata-mata dan peralatan militer untuk melawan pedagang senjata yang korup Destro dan ancaman dari organisasi Cobra misterius untuk mencegah mereka dari terjun dunia ke dalam kekacauan."
"Action , Adventure , Comedy","Muda Master Jackie Chan sedang mencari saudaranya yang hilang, ketika ia salah untuk seorang kriminal buronan. Dia harus membuktikan dirinya tidak bersalah dengan memecahkan kasus ini sendiri, sementara penegak hukum lokal dan tentara bayaran tanpa ampun panas di jalan-Nya."
"Action , Adventure , Crime",Konsultasi eksentrik detektif Sherlock Holmes dan Dokter John Watson pertempuran untuk menjatuhkan musuh baru dan mengungkap plot mematikan yang bisa menghancurkan Inggris.
Comedy,Seorang ibu rumah tangga licik dan akal bersumpah membalas dendam pada suaminya ketika ia mulai berselingkuh dengan asmara novelis kaya.
"Horror , Mystery","Urusan yang belum selesai dengan mahasiswi Julie James membawa pembunuh ke Bahama untuk meneror dia dan teman-temannya, Karla, Tyrell dan Will, selama liburan. Dapat Ray Bronson yang selamat dari serangan berdarah bersama Julie dua musim panas lalu, sampai ke pulau pada waktunya untuk menyelamatkan semua orang?"
"Drama , Music , Musical","Tiga perempuan muda - Deena Jones, Effie Putih, dan Lorrell Robinson - keinginan untuk menjadi bintang pop dan mendapatkan keinginan mereka ketika mereka memilih untuk menjadi penyanyi cadangan untuk legendaris James ""Guntur "" Awal. Kemudian mereka dibebaskan untuk memimpin, namun Curtis Taylor dan Effie saudara CC memutuskan untuk Deena untuk memimpin yang mengganggu Effie."
"Crime , Drama","Setelah detektif pembunuhan Los Angeles, Kapolda Jesse Batu sekarang memimpin tenang, desa pantai Paradise, Massachusetts. Ketika fakta tidak menambahkan dalam kasus pembunuhan Boston-area brutal, Jesse membuka penyelidikan penuh dengan kejutan, tersangka tidak mungkin dan bahaya. Meskipun secara luas diyakini pembunuhan itu dilakukan oleh seorang pembunuh berantai dipenjara, Jesse tersangka pembunuh lain adalah pada umumnya dan bersikeras membawanya ke pengadilan."
"Drama , Family , Fantasy","Ketika ayahnya tiba-tiba meninggal, muda Ella menemukan dirinya pada belas kasihan ibu tiri yang kejam dan putrinya. Tidak pernah satu untuk memberikan harapan, keberuntungan Ella mulai berubah setelah bertemu orang asing gagah di hutan."
"Comedy , Horror","Seorang eksekutif penerbitan dikunjungi dan digigit oleh vampir dan mulai menunjukkan perilaku tidak menentu. Dia mendorong sekretarisnya untuk ekstrem ketika ia mencoba untuk berdamai dengan penderitaannya. vampir terus mengunjungi dan minum darah-Nya, dan sebagai kegilaannya memperdalam, ia mulai terlihat seolah-olah beberapa peristiwa dia mengalami mungkin halusinasi."
"Adventure , Comedy , Family","Conrad dan Sally Walden adalah rumah sendiri dengan ikan peliharaan mereka. Hujan di luar, dan tidak ada hubungannya. Sampai Kucing dalam Hat berjalan di pintu depan. Dia memperkenalkan mereka untuk imajinasi mereka, dan pada awalnya itu semua menyenangkan dan permainan, sampai hal-hal yang keluar dari tangan, dan The Cat harus pergi, pergi, pergi, sebelum orang tua mereka kembali."
"Biography , Crime , Drama","Setelah kematian majikan dan mentornya, Bergelombang Johnson, Frank Lucas menetapkan dirinya sebagai nomor satu importir heroin di distrik Harlem Manhattan. Ia melakukannya dengan membeli heroin langsung dari sumber di Asia Tenggara dan dia datang dengan cara unik mengimpor obat ke Amerika Serikat. Berdasarkan kisah nyata."
"Comedy , Crime , Drama","Sebuah komedi menyenangkan dramatis, gambar teman, dan, untuk mengukur baik, film pencurian. Bakhil Frank lama hidup sendiri. rutinitasnya melibatkan kunjungan harian ke perpustakaan lokal, di mana ia memiliki binar di matanya untuk pustakawan. Anak-anaknya tumbuh prihatin tentang ayah mereka kesejahteraan dan membelikannya sebuah robot penjaga. Awalnya tahan terhadap ide, Frank segera menghargai manfaat dari dukungan robot - seperti makanan bergizi dan rumah yang bersih - dan akhirnya mulai memperlakukan robot nya seperti teman sejati. Dengan bantuan robot nya, gairah Frank untuk tua, profesi haram nya menghidupkan kembali, untuk lebih baik atau lebih buruk."
Drama,"Kisah coming of age sekitar dua pemuda dalam kota, yang tersisa untuk berjuang sendiri selama musim panas setelah ibu mereka diambil oleh otoritas."
"Action , Comedy , Romance","Bintang Jackie Chan sebagai pengacara hot-shot yang disewa oleh sebuah pabrik kimia Hong Kong untuk membuang oposisi terhadap cara mereka mencemari. Tapi ketika ia jatuh untuk seorang wanita cantik keluar untuk menghentikan tanaman, Jackie robek dalam konflik kepentingan dan meminta teman terpercaya nya Samo dan Biao untuk membantu setidaknya sampai mereka menemukan tujuan sebenarnya dari tanaman."
"Horror , Mystery , Thriller","Setelah kecelakaan mobil, seorang psikolog kriminal (Halle Berry) datang ke, hanya untuk menemukan bahwa dia seorang pasien di rumah sakit jiwa yang sama yang saat ini mempekerjakan dia. Tampaknya dia sudah dituduh membunuh suaminya - tapi dia tidak memiliki memori dari melakukan kejahatan. Saat ia mencoba untuk mendapatkan kembali ingatannya dan meyakinkan rekan-rekan kerjanya dari kepolosannya, semangat dendam menggunakan dia sebagai pion duniawi, yang selanjutnya meyakinkan semua orang dari rasa bersalahnya."
"Comedy , Drama","Roberta adalah seorang ibu rumah tangga pinggiran kota bosan yang terpesona dengan seorang wanita, Susan, ia hanya tahu tentang dengan membaca pesan ke dan dari dia di bagian personals koran. daya tarik ini mencapai puncaknya ketika iklan dengan judul ""Desperately Seeking Susan "" mengusulkan rendezvous. Roberta pergi juga, dan dalam serangkaian acara yang melibatkan amnesia dan identitas yang salah, langkah-langkah dalam kehidupan Susan."
"Comedy , Drama , Fantasy","Setelah pacar musisi sabar nya, Samantha, meninggal dalam kecelakaan tak lama setelah mereka bertengkar (dan hampir putus), seorang pengusaha Inggris berduka, Ian Wyndham, tinggal di London mendapat kesempatan untuk menghidupkan kembali hari lagi, di harapan mengubah peristiwa yang mengarah ke dirinya terbunuh."
"Comedy , Romance",Seorang dokter hewan yang sukses & amp; pembawa acara radio dengan harga diri yang rendah meminta teman modelnya untuk meniru ketika seorang pria tampan ingin melihatnya.
Documentary,Sebuah perjalanan ke dalam kehidupan seorang ibu beruang kutub dan dua anaknya tujuh bulan-lama karena mereka menavigasi padang gurun Arctic mengubah mereka sebut rumah.
"Drama , Fantasy , Romance","Bercerita tentang Benjamin Button, seorang pria yang mulai menua mundur dengan konsekuensi yang aneh."
"Action , Adventure","Sebuah operasi satuan tugas gabungan antara Drug Enforcement Administration dan US Army telah dibentuk untuk membongkar salah satu kartel narkoba terbesar yang beroperasi di Amerika Selatan. Beberapa upaya untuk menyerang senyawa pegunungan kartel telah digagalkan oleh helikopter Scorpion-serangan dikemudikan oleh seorang pemimpin kartel, Eric Stoller (Bert Rhine). Setelah beberapa pesawat ditembak jatuh, terutama sepasang UH-60 Black Hawk dan AH-1 Cobra pengawalan mereka, tentara beralih ke AH-64 Apache helikopter serang baru, yang dapat mencocokkan manuver dan daya tembak musuh-musuhnya '."
"Drama , Music , Romance","Membuka dengan Bleek sebagai anak belajar bermain terompet, teman-temannya ingin dia keluar dan bermain, tapi ibu menegaskan dia menyelesaikan pelajaran. Bleek tumbuh menjadi dewasa dan membentuk band sendiri - The bleek Gilliam Quartet. Kisah Bleek dan persaingan ramah Shadow di panggung yang tumpahan ke dalam hubungan profesional mereka dan mengancam untuk mengobrak-abrik kuartet."
"Biography , Drama , Romance","Kisah krisis mantan bintang Hollywood Grace Kelly untuk pernikahan dan identitas, selama sengketa politik antara Monako Pangeran Rainier III dan Perancis Charles De Gaulle, dan invasi Perancis menjulang dari Monaco pada awal 1960-an."
"Biography , Drama","Melawan rintangan tangguh - dan instruktur menyelam sekolah tua sakit hati oleh baru, kebijakan kurang merugikan Angkatan Laut AS - Carl Brashear menetapkan pandangannya pada menjadi Angkatan Laut pertama Afrika-Amerika Master penyelam di kisah nyata semangat ini. Hubungan mereka dimulai di bebatuan, namun nasib akhirnya bersekongkol untuk membawa orang-orang bersama-sama ke pengaturan saling menghormati, kemenangan dan kehormatan."
"Action , Comedy , Crime","Bercerita tentang seorang polisi yang meninggalkan mimpinya berlayar di seluruh dunia sehingga ia dapat merawat adik keterbelakangan mental nya. Polos terjebak dalam pertarungan geng, saudara diculik untuk memaksa polisi untuk menyerahkan informan polisi."
Drama,"Seorang janda baru-baru ini mengundang teman bermasalah terbaik suaminya untuk tinggal bersamanya dan dua anaknya. Saat ia secara bertahap berubah hidupnya, ia membantu keluarga mengatasi dan menghadapi kerugian mereka."
"Crime , Drama , Mystery",Sebuah kesempatan pertemuan pada malam Halloween menyebabkan koki jatuh untuk kecantikan misterius. Obsesinya menyebabkan dia mengikutinya sampai ke Paris dengan niat gelap.
"Comedy , Romance","Jennifer dan Vince, orang asing virtual, menemukan diri mereka kekurangan uang tunai dan memutuskan untuk panggung pertunangan palsu dan pernikahan hanya untuk hadiah"
"Comedy , Romance","Hubungan besar terakhir Matt Sullivan berakhir dengan bencana dan sejak hatinya sudah sakit dan komitmennya sudah kurang. Kemudian datang Prapaskah, waktu tahun ketika semua orang memberikan sesuatu. Saat itulah Matt memutuskan untuk pergi ke mana tidak ada manusia sudah pergi sebelum dan membuat sumpah: Tidak ada seks. Apa pun. Selama 40 hari berturut-turut. Pada awalnya ia memiliki segalanya di bawah kontrol. Yang sampai wanita impiannya, Erica, berjalan ke dalam hidupnya."
"Comedy , Romance","Sir Robert Chiltern adalah menteri Pemerintah sukses, kaya dan dengan istri yang penuh kasih. Semua ini terancam ketika Mrs Cheveley muncul di London dengan bukti memberatkan dari kelakuan buruk masa lalu. Sir Robert ternyata bantuan kepada temannya Tuhan Goring, sebuah hidung belang ternyata menganggur dan putus asa ayahnya. Goring tahu nyonya tua, dan, baginya, mengambil seluruh hal yang cukup serius."
"Crime , Drama","Terrence McDonagh, seorang sersan New Orleans Polisi, yang dimulai sebagai polisi yang baik, menerima medali dan promosi ke letnan untuk kepahlawanan selama Badai Katrina. Selama tindakan heroiknya, McDonagh melukai punggungnya dan kemudian menjadi kecanduan obat penghilang rasa sakit resep. McDonagh menemukan dirinya terlibat dengan pengedar narkoba yang diduga membunuh keluarga imigran Afrika."
"Drama , Sport",Ayah A basket pemain harus mencoba untuk meyakinkan dia untuk pergi ke perguruan tinggi sehingga ia bisa mendapatkan hukuman lebih pendek.
"Adventure , Drama , Romance","Seorang pemuda (Cruise) daun Irlandia dengan putri pemilik nya (Kidman) setelah beberapa masalah dengan ayahnya, dan mereka bermimpi memiliki tanah di giveaway besar di ca. Oklahoma 1893. Ketika mereka sampai ke lahan baru, mereka menemukan pekerjaan dan mulai menabung. Pria itu menjadi petinju barehands lokal, dan naik dalam kemuliaan sampai dia dipukuli, kemudian majikannya mencuri semua uang pasangan dan mereka harus melawan kelaparan di musim dingin, dan mencoba untuk menjaga impian mereka memiliki tanah hidup. Sementara itu, orang tua wanita itu mencari tahu di mana dia telah pergi dan datang ke Amerika untuk menemukan dan membawanya kembali."
"Drama , Thriller","Petugas pembebasan bersyarat Jack Mabry (Robert De Niro) memiliki hanya beberapa minggu lagi sebelum pensiun dan ingin menyelesaikan keluar kasus dia ditugaskan. Salah satu kasus tersebut adalah bahwa dari Gerald ""Batu "" Creeson (Edward Norton), seorang pembakar dihukum yang untuk pembebasan bersyarat. Jack awalnya enggan untuk memanjakan Batu di olok-olok kasar dia ingin mengejar dan merasa sedikit simpati untuk tahanan memohon untuk rilis awal. Melihat sedikit harapan dalam meyakinkan Jack sendiri, Batu mengatur untuk istrinya Lucetta (Milla Jovovich) untuk merayu petugas, tapi motif dan niat terus mengaburkan di tengah-tengah nafsu dan dimakamkan rahasia pemain rusak dalam game ini mematikan penipuan."
"Action , Comedy , Fantasy",Seorang detektif Hong Kong menderita kecelakaan fatal yang melibatkan sebuah medali misterius dan ditransformasikan menjadi prajurit abadi dengan kekuatan super.
"Action , Adventure , Thriller",Yang selalu berani James Bond mengambil pemimpin Korea Utara yang mengalami prosedur penggantian DNA yang memungkinkan dia untuk mengasumsikan identitas yang berbeda. agen Amerika Jinx Johnson membantu Bond dalam menggagalkan rencana penjahat untuk mengeksploitasi satelit yang didukung oleh energi surya.
"Action , Crime , Drama","Film ini berkisah jalan-pembalap lokal yang bekerjasama dengan rekan bisnis yang kaya dan sombong, hanya untuk menemukan dirinya dibingkai oleh rekannya dan dikirim ke penjara. Setelah dia keluar, ia bergabung perlombaan New York-to-Los Angeles untuk membalas dendam. Tapi ketika mantan mitra belajar dari skema, ia menempatkan karunia besar di kepala pembalap, memaksa dia untuk menjalankan tantangan lintas negara pembalap ilegal di segala macam kendaraan supercharged."
"Comedy , Romance",Seorang penulis freelance mencari cinta menjual cerita untuk majalah Cosmopolitan tentang menemukan cinta di tempat kerja dan pergi menyamar di sebuah Perusahaan Keuangan.
"Action , Adventure , Romance","The Lovers adalah sebuah film petualangan wisata epik waktu asmara. Dipimpin oleh Roland Joffe dari cerita oleh Ajey Jhankar, film ini adalah kisah menyapu cinta tidak mungkin mengatur terhadap latar belakang dari pertama Anglo-Maratha perang di dua periode waktu dan benua dan berpusat di sekitar empat karakter - seorang perwira Inggris di abad ke-18 kolonial India, wanita India dia jatuh sangat cinta dengan, sebuah masa kini ahli biologi laut Amerika dan istrinya."
"Documentary , Music","Ada band lain dalam sejarah gulungan batu telah disaingi The Stooges kombinasi berdenyut primal berat, melonjak psychedelia, blues-a-billy menggiling, lengkap dengan ringkas lirik kecemasan-ditunggangi, dan menggeram sebuah, bersolek macan tutul dari pria depan yang entah bagaimana mewujudkan Nijinsky, Bruce Lee, Harpo Marx, dan Arthur Rimbaud semua digulung menjadi satu. Tidak ada preseden untuk The Stooges, sementara mereka yang terinspirasi oleh mereka sekarang legiun. Film ini akan menyajikan konteks kemunculan mereka musik, budaya, politik, sejarah, dan berhubungan petualangan dan kesialan mereka sementara charting inspirasi mereka dan alasan di balik tantangan komersial awal mereka, serta warisan tahan lama mereka."
"Drama , Fantasy , Thriller","A London playboy sia-sia menawarkan jiwanya dalam pertukaran untuk kecantikan abadi dalam adaptasi ini kisah mengerikan penulis Oscar Wilde. Tergoda ke dunia dekaden Lord Henry Wotton (Colin Firth), tampan bangsawan muda Dorian Gray (Ben Barnes) menjadi terobsesi dengan mempertahankan penampilan muda, dan komisi potret khusus yang akan cuaca angin dari waktu sementara ia tetap selamanya muda. Ketika obsesi Gray spiral di luar kendali, upaya putus asa untuk menjaga rahasianya mengubah hidup sekali-hak istimewa ke dalam neraka."
Drama,"Sebagai buntut dari tumpahan minyak BP, seorang idealis tapi tidak sempurna New Orleans politisi (Nicolas Cage) menemukan rencananya restorasi penguraian sebagai hidupnya sendiri menjadi terkontaminasi dengan korupsi, skandal dan penipuan."
"Comedy , Drama","Pada hari terpanas tahun di sebuah jalan di bagian Bedford-Stuyvesant dari Brooklyn, kebencian semua orang dan kefanatikan membara dan membangun sampai meledak menjadi kekerasan."
Comedy,"Sebuah nebbish dari petugas kamar mayat akan didorong kembali ke shift malam di mana dia terbelenggu dengan pasangan orang baru menjengkelkan yang bermimpi dari ""satu ide bagus "" untuk sukses. hidupnya mengambil giliran aneh ketika tetangga pelacur mengeluh tentang hilangnya germonya. Rekannya, setelah mendengar situasi, menunjukkan bahwa mereka mengisi membuka diri menggunakan kamar mayat di malam hari."
"Biography , Drama , Sport","Ketika Jake LaMotta langkah ke ring tinju dan melenyapkan lawannya, dia prizefighter. Tapi ketika ia memperlakukan keluarganya dan teman-teman dengan cara yang sama, dia bom waktu, siap untuk pergi setiap saat. Meskipun LaMotta ingin cinta keluarganya, sesuatu yang selalu tampaknya datang di antara mereka. Mungkin itu serangan kekerasan itu paranoia dan kecemburuan. semacam ini kemarahan membantu membuat dia seorang juara, tapi dalam kehidupan nyata, dia angin di ring saja."
"Action , Crime , Thriller","Billy Wong adalah seorang polisi New York City yang pasangannya ditembak mati selama perampokan. Billy dan rekan barunya, Danny Garoni, yang keamanan bekerja di sebuah fashion show ketika putri orang kaya, Laura Shapiro, adalah diculik. Pihak berwenang federal menduga bahwa ayah Laura terlibat dengan Mr Ko, seorang gembong narkoba Hong Kong, sehingga komisaris polisi NYC mengirimkan dua polisi ke Hong Kong untuk menyelidiki."
"Action , Adventure , Drama","Pesawat yang membawa kaya Charles Morse crash turun di padang gurun Alaska. Bersama-sama dengan dua penumpang lainnya, fotografer Robert dan asisten Stephen, Charles membuat rencana untuk membantu mereka mencapai peradaban. Namun, kendala yang terbesar mungkin tidak elemen, atau bahkan beruang Kodiak mengintai mereka - itu bisa Robert, yang Charles tersangka berselingkuh dengan istrinya dan tidak keberatan melihat dia mati."
"Action , Adventure , Drama","Go ""bawah kisaran "" dengan nyata, tugas aktif Navy SEAL di adrenalin berbahan bakar ini aksi-petualangan yang memasukkan Anda ke jantung pertempuran, bersama Amerika dan berani terbaik. Ketika misi rahasia untuk menyelamatkan seorang agen CIA menculik mengungkap plot mengerikan, elit, sangat terlatih kecepatan tim AS SEAL ke hotspot di seluruh dunia, berlomba melawan waktu untuk menghentikan serangan teroris mematikan."
"Animation , Action , Adventure","Kerajaan magis Lucis adalah rumah bagi sisa kristal terakhir di dunia, dan kerajaan mengancam Niflheim bertekad untuk mencurinya. Raja Regis dari Lucis perintah pasukan elit tentara disebut Kingsglaive. Memegang sihir raja mereka, mereka berjuang untuk melindungi Lucis. Sebagai kekuatan militer yang luar biasa dari kerajaan beruang turun, Raja Regis menghadapi ultimatum mustahil - untuk menikah dengan anaknya, Pangeran Noctis Putri Lunafreya dari Tenebrae, tawanan dari Niflheim, dan menyerahkan tanah kepada aturan Niflheim. Meskipun raja mengakui, menjadi jelas bahwa kekaisaran akan berhenti untuk mencapai tujuan licik mereka, dengan hanya Kingsglaive berdiri di antara mereka dan menguasai dunia."
"Comedy , Family , Romance","Dua saudara kaya, baik ahli waris keberuntungan kosmetik keluarga mereka, diberi panggilan bangun ketika skandal dan investigasi berikutnya strip mereka dari kekayaan mereka."
"Drama , History , War","Ketika US Rangers dan tim upaya Delta Force elit untuk menculik dua bawahan dari seorang panglima perang Somalia, helikopter Black Hawk mereka ditembak jatuh, dan Amerika menderita korban berat, menghadapi pertempuran sengit dari milisi di tanah."
"Comedy , Drama",Sebuah antologi 5 sopir taksi yang berbeda di 5 kota Amerika dan Eropa dan harga yang luar biasa mereka pada malam kejadian yang sama.
"Biography , Comedy , Crime","Bad Santa co-penulis skenario Glenn Ficara dan John Requa re-tim untuk komedi hitam berbasis fakta ini dibintangi Jim Carrey sebagai-con perwira-ternyata pria Virginia polisi yang membuat lompatan ke kerah putih pidana setelah dikirim ke penjara dan jatuh cinta dengan teman satu selnya sensitif. Steve Russell (Carrey) adalah polisi-kota kecil. Bosan dengan gaya hidup hambar nya, Russell ternyata penipuan sebagai sarana gemetar segalanya. Sebelum lama, kejenakaan pidana Russell ini telah mendarat dia di balik jeruji besi, di mana ia bertemu dengan karismatik Phillip Morris (Ewan McGregor). Smitten, Russell mengabdikan seluruh hidupnya untuk menjadi dengan Morris terlepas dari konsekuensi."
"Drama , Family , Music",Sebuah pertempuran hari kereta hopper modern untuk menjadi musisi yang sukses dan seorang ibu tunggal berjuang untuk mempertahankan hak asuh putrinya menentang keadaan mereka dengan datang bersama-sama dalam suatu hubungan yang dapat mengubah satu sama lain hidup selamanya.
"Action , Adventure , Comedy","Eddie Hawkins, yang disebut Hudson Hawk telah saja dibebaskan dari sepuluh tahun penjara dan berencana untuk menghabiskan sisa hidupnya dengan jujur. Tapi kemudian gila pasangan Mayflower memerasnya untuk mencuri beberapa karya Leonardo da Vinci. Jika dia menolak, mereka mengancam untuk membunuh temannya Tommy."
"Adventure , Thriller , Western","Ketika peternak dan ibu tunggal dari dua Maggie Gilkeson melihat putrinya remaja, Lily, diculik oleh pemberontak Apache, dia enggan menerima bantuan ayahnya terasing, Samuel, dalam melacak para penculik. Sepanjang jalan, keduanya harus belajar untuk mendamaikan masa lalu dan bekerja bersama-sama jika mereka akan memiliki harapan mendapatkan Lily kembali sebelum ia mengambil alih perbatasan dan dipaksa untuk menjadi pelacur."
"Comedy , Drama , Romance","Setelah menghabiskan delapan bulan di rumah sakit jiwa, seorang mantan guru bergerak kembali dengan orang tuanya dan mencoba untuk berdamai dengan mantan istrinya."
"Action , Comedy","Kembali ke rumah dengan ayahnya setelah ekspedisi belanja, Wong Fei-Hong adalah tanpa disadari terjebak dalam pertempuran antara orang asing yang ingin mengekspor artefak Cina kuno dan loyalis yang tidak ingin potongan untuk meninggalkan negara itu. Fei-Hong harus berjuang melawan orang asing menggunakan gaya Drunken Boxing, dan mengatasi antagonisme ayahnya juga."
